,dataset,rep,fold,score
307,nBag_25_nFeat_5_nInsPerBag_10,8,2,-1.8931742342986535
308,nBag_25_nFeat_5_nInsPerBag_10,8,3,-1.2905136455726378
309,nBag_25_nFeat_5_nInsPerBag_10,8,4,-2.6295126297450215
310,nBag_25_nFeat_5_nInsPerBag_10,8,5,-2.1122120639460653
311,nBag_25_nFeat_5_nInsPerBag_10,8,6,-2.071457514003099
312,nBag_25_nFeat_5_nInsPerBag_10,8,7,-2.056792992491956
313,nBag_25_nFeat_5_nInsPerBag_10,8,8,-3.07233742501887
314,nBag_25_nFeat_5_nInsPerBag_10,8,9,-3.1334986890716245
315,nBag_25_nFeat_5_nInsPerBag_10,9,1,-1.6024040909632618
316,nBag_25_nFeat_5_nInsPerBag_10,9,2,-2.0485252055774046
317,nBag_25_nFeat_5_nInsPerBag_10,9,3,-2.2654183053271364
318,nBag_25_nFeat_5_nInsPerBag_10,9,4,-1.849873163423396
319,nBag_25_nFeat_5_nInsPerBag_10,9,5,-2.549251323697159
320,nBag_25_nFeat_5_nInsPerBag_10,9,6,-1.386042869060388
321,nBag_25_nFeat_5_nInsPerBag_10,9,7,-2.4391669646049343
322,nBag_25_nFeat_5_nInsPerBag_10,9,8,-1.8886803321018555
323,nBag_25_nFeat_5_nInsPerBag_10,9,9,-2.3277122313589955
324,nBag_50_nFeat_10_nInsPerBag_5,1,1,4.030051856808296
325,nBag_50_nFeat_10_nInsPerBag_5,1,2,7.147428978719068
326,nBag_50_nFeat_10_nInsPerBag_5,1,3,6.048482155367398
327,nBag_50_nFeat_10_nInsPerBag_5,1,4,3.838693903791022
328,nBag_50_nFeat_10_nInsPerBag_5,1,5,5.8776368908219
329,nBag_50_nFeat_10_nInsPerBag_5,1,6,4.6182762722575355
330,nBag_50_nFeat_10_nInsPerBag_5,1,7,6.111137132448605
331,nBag_50_nFeat_10_nInsPerBag_5,1,8,5.642728894836621
332,nBag_50_nFeat_10_nInsPerBag_5,1,9,5.446884216486087
333,nBag_50_nFeat_10_nInsPerBag_5,2,1,8.92119798234552
334,nBag_50_nFeat_10_nInsPerBag_5,2,2,4.539842076920185
335,nBag_50_nFeat_10_nInsPerBag_5,2,3,8.816888033902082
336,nBag_50_nFeat_10_nInsPerBag_5,2,4,7.223633998060224
337,nBag_50_nFeat_10_nInsPerBag_5,2,5,5.892816609619886
338,nBag_50_nFeat_10_nInsPerBag_5,2,6,4.838729109005746
339,nBag_50_nFeat_10_nInsPerBag_5,2,7,5.715744979064647
340,nBag_50_nFeat_10_nInsPerBag_5,2,8,8.704736348091144
341,nBag_50_nFeat_10_nInsPerBag_5,2,9,6.335749414519903
342,nBag_50_nFeat_10_nInsPerBag_5,3,1,5.075526481715004
343,nBag_50_nFeat_10_nInsPerBag_5,3,2,8.051064779612783
344,nBag_50_nFeat_10_nInsPerBag_5,3,3,4.425545147020555
345,nBag_50_nFeat_10_nInsPerBag_5,3,4,5.723212603300221
346,nBag_50_nFeat_10_nInsPerBag_5,3,5,10.19278085302675
347,nBag_50_nFeat_10_nInsPerBag_5,3,6,9.501902810304445
348,nBag_50_nFeat_10_nInsPerBag_5,3,7,5.617637587822012
349,nBag_50_nFeat_10_nInsPerBag_5,3,8,8.61512490241998
350,nBag_50_nFeat_10_nInsPerBag_5,3,9,4.904817664770825
351,nBag_50_nFeat_10_nInsPerBag_5,4,1,7.3428897624623595
352,nBag_50_nFeat_10_nInsPerBag_5,4,2,8.588046448087427
353,nBag_50_nFeat_10_nInsPerBag_5,4,3,4.903099983162662
354,nBag_50_nFeat_10_nInsPerBag_5,4,4,6.441899794194873
355,nBag_50_nFeat_10_nInsPerBag_5,4,5,6.8816632256871655
356,nBag_50_nFeat_10_nInsPerBag_5,4,6,5.945044324555253
357,nBag_50_nFeat_10_nInsPerBag_5,4,7,7.836596409055421
358,nBag_50_nFeat_10_nInsPerBag_5,4,8,3.9327957561564095
359,nBag_50_nFeat_10_nInsPerBag_5,4,9,5.90710382513661
360,nBag_50_nFeat_10_nInsPerBag_5,5,1,7.069082306314704
361,nBag_50_nFeat_10_nInsPerBag_5,5,2,7.045685170242957
362,nBag_50_nFeat_10_nInsPerBag_5,5,3,8.20820156666397
363,nBag_50_nFeat_10_nInsPerBag_5,5,4,6.3845167127954
364,nBag_50_nFeat_10_nInsPerBag_5,5,5,4.370597419295585
